;s;p;o;source;support;pipeline
559;semantic search engines;provides;knowledge bases;['heuristic'];[25];yes
830;semantic search engines;improves;knowledge discovery;['heuristic'];[7.0];no
1094;semantic search engines;supports;knowledge management;['heuristic'];[4.0];no
530;semantic search engines;uses;knowledge representation;['luanyi'];[1];yes
117;semantic search engines;learns;learning;['heuristic'];[24];yes
886;semantic search engines;selects;libraries;['heuristic'];[6.0];no
758;semantic search engines;uses;linked data;['heuristic'];[11];yes
699;semantic search engines;uses;linked open data;['heuristic'];[8];yes
23;semantic search engines;uses;map-reduce;['luanyi', 'heuristic'];[1, 1];yes
8;semantic search engines;uses;mobile agents;['luanyi'];[1];yes
133;semantic search engines;uses;mobile devices;['luanyi'];[2];yes
486;semantic search engines;uses;mobile phones;['openie', 'luanyi', 'heuristic'];[1, 2, 2];yes
969;semantic search engines;provides;multimedia data;['heuristic'];[5.0];no
385;semantic search engines;uses;named entity recognition;['luanyi'];[1];yes
525;semantic search engines;is;natural language processing systems;['luanyi'];[1];yes
831;semantic search engines;uses;natural language processing systems;['heuristic'];[7.0];no
171;semantic search engines;requires;ontologies;['openie'];[3];yes
285;semantic search engines;uses;ontologies;['heuristic', 'luanyi'];[209, 16];yes
362;semantic search engines;uses;parallelism;['luanyi'];[1];yes
405;semantic search engines;uses;pervasive computing;['luanyi'];[1];yes
1282;semantic search engines;improves;process mining;['heuristic'];[3.0];no
1283;semantic search engines;produces;purchase;['heuristic'];[3.0];no
12;semantic search engines;uses;rdf data;['luanyi'];[1];yes
511;semantic search engines;executes;reasoning algorithms;['heuristic'];[23];yes
24;semantic search engines;uses;recommendation;['openie'];[1];yes
126;semantic search engines;uses;resource description framework (rdf);['luanyi', 'openie', 'heuristic'];[1, 1, 5];yes
50;semantic search engines;combines;search engines;['heuristic'];[57];yes
461;semantic search engines;requires;search engines;['openie'];[4];yes
592;semantic search engines;uses;search engines;['luanyi'];[11];yes
970;semantic search engines;requires;semantic metadata;['heuristic'];[5.0];no
740;semantic search engines;uses;semantic relationships;['heuristic'];[8];yes
278;semantic search engines;uses;semantic search engine;['luanyi'];[2];yes
767;semantic search engines;uses;semantic similarity measures;['heuristic'];[13];yes
887;semantic search engines;uses;semantic web services;['heuristic'];[6.0];no
971;semantic search engines;base;semantic web technologies;['heuristic'];[5.0];no
480;semantic search engines;is;semantic web technologies;['luanyi', 'luanyi'];[2, 1];yes
63;semantic search engines;provides;semantic web technologies;['heuristic'];[68];yes
372;semantic search engines;uses;semantic web technologies;['luanyi', 'luanyi'];[3, 6];yes
612;semantic search engines;uses;social networks;['luanyi'];[2];yes
348;semantic search engines;uses;sparql;['luanyi', 'heuristic'];[2, 17];yes
760;semantic search engines;uses;sparql inferencing notation (spin);['heuristic'];[1];yes
302;semantic search engines;uses;spatial data infrastructure;['luanyi'];[1];yes
1284;semantic search engines;selects;stream data;['heuristic'];[3.0];no
213;semantic search engines;uses;text mining;['luanyi'];[1];yes
1095;semantic search engines;extends;user profiling;['heuristic'];[4.0];no
398;semantic search engines;uses;user query;['luanyi', 'heuristic'];[1, 19];yes
523;semantic search engines;requires;verification;['openie'];[1];yes
636;semantic search engines;uses;vocabulary;['heuristic'];[6];yes
888;semantic search engines;classifies;web contents;['heuristic'];[6.0];no
1096;semantic search engines;includes;web information;['heuristic'];[4.0];no
520;semantic search engines;uses;web of data;['luanyi'];[1];yes
167;semantic search engines;uses;web ontology language;['luanyi', 'heuristic'];[2, 4];yes
180;semantic search engines;improves;web searches;['openie'];[1];yes
794;semantic search engines;produces;web-searching;['heuristic'];[8.0];no
972;semantic similarity measures;proposes;linked data;['heuristic'];[5.0];no
973;semantic similarity measures;is;ontology alignment;['heuristic'];[5.0];no
179;semantic similarity measures;uses;ontology alignment;['luanyi'];[1];yes
1097;semantic similarity measures;extends;semantic description;['heuristic'];[4.0];no
974;semantic similarity measures;is;semantic web services;['heuristic'];[5.0];no
1098;semantic web rule languages;defines;web ontology language;['heuristic'];[4.0];no
516;semantic web rule languages;extends;web ontology language;['openie'];[1];yes
538;semantic web rule languages;is;web ontology language;['luanyi'];[1];yes
319;semantic web rule languages;produces;web ontology language;['heuristic'];[62];yes
889;semantic web service discovery;base;ontology alignment;['heuristic'];[6.0];no
309;semantic web service discovery;uses;ontology alignment;['luanyi'];[2];yes
795;semantic web service discovery;base;semantic web services;['heuristic'];[8.0];no
1099;semantic web services;base;access control;['heuristic'];[4.0];no
467;semantic web services;uses;access control;['luanyi'];[3];yes
320;semantic web services;uses;agent technology;['luanyi', 'heuristic'];[2, 11];yes
625;semantic web services;uses;answering queries;['heuristic'];[1];yes
280;semantic web services;requires;authentication;['openie', 'heuristic'];[1, 1];yes
463;semantic web services;supports;automated reasoning;['openie', 'heuristic'];[2, 6];yes
440;semantic web services;produces;automatic composition;['openie'];[1];yes
298;semantic web services;uses;automatic composition;['luanyi'];[1];yes
38;semantic web services;supports;automation;['heuristic', 'openie'];[54, 6];yes
568;semantic web services;uses;bayesian classification;['luanyi'];[1];yes
97;semantic web services;uses;business logic;['luanyi', 'heuristic'];[1, 8];yes
124;semantic web services;uses;business process execution language;['luanyi'];[4];yes
1285;semantic web services;produces;business process modelling;['heuristic'];[3.0];no
353;semantic web services;uses;collaborative filtering algorithms;['luanyi', 'heuristic'];[1, 1];yes
295;semantic web services;uses;collaborative tagging;['luanyi'];[1];yes
572;semantic web services;provides;communication;['heuristic'];[41];yes
578;semantic web services;includes;component-based software engineering;['luanyi'];[1];yes
194;semantic web services;is;component-based software engineering;['openie'];[1];yes
53;semantic web services;produces;component-based software engineering;['heuristic'];[27];yes
1286;semantic web services;represents;computer science;['heuristic'];[3.0];no
832;semantic web services;extends;context information;['heuristic'];[7.0];no
1100;semantic web services;combines;cycle;['heuristic'];[4.0];no
1287;semantic web services;automates;data integration;['heuristic'];[3.0];no
424;semantic web services;uses;database management;['luanyi'];[1];yes
602;semantic web services;uses;description logics;['luanyi'];[6];yes
26;semantic web services;uses;distributed applications;['luanyi'];[1];yes
515;semantic web services;uses;distributed architectures;['luanyi'];[1];yes
165;semantic web services;uses;distributed systems;['luanyi'];[1];yes
833;semantic web services;requires;domain-specific ontologies;['heuristic'];[7.0];no
1288;semantic web services;matches;efficient algorithm;['heuristic'];[3.0];no
742;semantic web services;uses;explicit knowledge;['heuristic'];[2];yes
426;semantic web services;uses;extensible markup language (xml);['openie'];[1];yes
1101;semantic web services;includes;finite state machines;['heuristic'];[4.0];no
543;semantic web services;uses;formal models;['luanyi'];[2];yes
1102;semantic web services;supports;grid services;['heuristic'];[4.0];no
1103;semantic web services;proposes;inference;['heuristic'];[4.0];no
11;semantic web services;is;information integration;['luanyi'];[1];yes
975;semantic web services;queries;information retrieval;['heuristic'];[5.0];no
796;semantic web services;supports;information systems;['heuristic'];[8.0];no
1104;semantic web services;extends;information technology;['heuristic'];[4.0];no
723;semantic web services;uses;information theory;['heuristic'];[1];yes
1289;semantic web services;is;intelligibility;['heuristic'];[3.0];no
279;semantic web services;uses;knowledge acquisition;['luanyi'];[3];yes
109;semantic web services;uses;learning;['heuristic'];[24];yes
976;semantic web services;supports;learning objects;['heuristic'];[5.0];no
768;semantic web services;uses;linear logic;['heuristic'];[3];yes
1105;semantic web services;links;linked open data;['heuristic'];[4.0];no
977;semantic web services;proposes;logistics;['heuristic'];[5.0];no
737;semantic web services;uses;machine learning techniques;['heuristic'];[2];yes
242;semantic web services;uses;mashup;['luanyi'];[1];yes
200;semantic web services;uses;matching algorithm;['luanyi'];[2];yes
415;semantic web services;uses;mobile devices;['luanyi', 'heuristic'];[1, 1];yes
128;semantic web services;uses;modeling languages;['luanyi'];[2];yes
116;semantic web services;uses;ontologies;['luanyi', 'openie', 'heuristic'];[21, 1, 251];yes
378;semantic web services;uses;ontology alignment;['luanyi'];[2];yes
233;semantic web services;uses;ontology evolution;['luanyi'];[1];yes
834;semantic web services;provides;ontology integration;['heuristic'];[7.0];no
522;semantic web services;uses;ontology integration;['luanyi'];[1];yes
110;semantic web services;uses;ontology language;['luanyi', 'heuristic'];[1, 7];yes
105;semantic web services;uses;ontology technology;['luanyi', 'heuristic'];[2, 3];yes
978;semantic web services;produces;optimization;['heuristic'];[5.0];no
1106;semantic web services;base;planning algorithms;['heuristic'];[4.0];no
98;semantic web services;requires;privacy;['openie', 'heuristic'];[1, 1];yes
1290;semantic web services;supports;process discovery;['heuristic'];[3.0];no
360;semantic web services;represents;programming models;['openie'];[1];yes
835;semantic web services;uses;radio frequency identification technology;['heuristic'];[7.0];no
265;semantic web services;supports;reasoning algorithms;['heuristic', 'openie'];[28, 1];yes
20;semantic web services;uses;reference architectures;['luanyi'];[1];yes
284;semantic web services;uses;resource description framework (rdf);['luanyi'];[1];yes
1107;semantic web services;combines;robots;['heuristic'];[4.0];no
80;semantic web services;includes;semantic description;['luanyi'];[2];yes
610;semantic web services;produces;semantic description;['heuristic'];[39];yes
81;semantic web services;provides;semantic description;['openie'];[2];yes
836;semantic web services;matches;semantic distance;['heuristic'];[7.0];no
101;semantic web services;uses;semantic interoperability;['luanyi'];[2];yes
797;semantic web services;improves;semantic relationships;['heuristic'];[8.0];no
67;semantic web services;uses;semantic relationships;['luanyi', 'luanyi'];[6, 4];yes
389;semantic web services;uses;semantic search engines;['luanyi'];[1];yes
890;semantic web services;base;semantic similarity measures;['heuristic'];[6.0];no
733;semantic web services;uses;semantic web service discovery;['heuristic'];[11];yes
300;semantic web services;combines;semantic web technologies;['heuristic', 'openie'];[32, 1];yes
331;semantic web services;is;semantic web technologies;['luanyi', 'luanyi'];[3, 2];yes
31;semantic web services;uses;semantic web technologies;['heuristic', 'luanyi', 'luanyi', 'openie', 'heuristic'];[413, 3, 19, 1, 1];yes
297;semantic web services;uses;semantic wikis;['luanyi'];[3];yes
1291;semantic web services;produces;service architecture;['heuristic'];[3.0];no
798;semantic web services;supports;service compositions;['heuristic'];[8.0];no
214;semantic web services;uses;service compositions;['luanyi', 'heuristic'];[2, 2];yes
732;semantic web services;uses;service management;['heuristic'];[5];yes
837;semantic web services;proposes;service ontology;['heuristic'];[7.0];no
891;semantic web services;proposes;service-oriented computing;['heuristic'];[6.0];no
614;semantic web services;uses;service-oriented computing;['luanyi'];[3];yes
205;semantic web services;includes;services selection;['luanyi'];[1];yes
799;semantic web services;supports;services selection;['heuristic'];[8.0];no
82;semantic web services;uses;shortest paths;['luanyi'];[1];yes
1108;semantic web services;extends;social networks;['heuristic'];[4.0];no
892;semantic web services;uses;soft computing;['heuristic'];[6.0];no
554;semantic web services;supports;software agents;['heuristic'];[24];yes
286;semantic web services;uses;software agents;['luanyi'];[2];yes
800;semantic web services;queries;sparql;['heuristic'];[8.0];no
483;semantic web services;uses;sparql;['luanyi'];[1];yes
1292;semantic web services;extends;supply chain coordination;['heuristic'];[3.0];no
83;semantic web services;supports;supply chain coordination;['openie'];[1];yes
330;semantic web services;uses;system architectures;['luanyi'];[1];yes
469;semantic web services;uses;text clustering;['luanyi'];[1];yes
175;semantic web services;uses;tool support;['luanyi'];[1];yes
518;semantic web services;uses;uml profiles;['luanyi'];[1];yes
1293;semantic web services;provides;user experience;['heuristic'];[3.0];no
838;semantic web services;matches;user query;['heuristic'];[7.0];no
507;semantic web services;uses;user query;['luanyi'];[1];yes
1294;semantic web services;automates;verification;['heuristic'];[3.0];no
369;semantic web services;uses;visual programming;['luanyi'];[1];yes
1109;semantic web services;extends;visualization;['heuristic'];[4.0];no
54;semantic web services;uses;visualization;['luanyi'];[1];yes
186;semantic web services;uses;web 2.0;['luanyi'];[1];yes
774;semantic web services;uses;web engineering;['heuristic'];[4];yes
413;semantic web services;uses;web of data;['luanyi'];[1];yes
234;semantic web services;uses;web ontology language;['luanyi', 'heuristic', 'heuristic'];[4, 3, 7];yes
246;semantic web services;uses;web service description;['luanyi'];[2];yes
221;semantic web services;automates;web services discovery;['openie'];[1];yes
580;semantic web services;provides;web services discovery;['heuristic'];[42];yes
437;semantic web services;supports;web services discovery;['openie'];[1];yes
417;semantic web services;uses;web services discovery;['luanyi'];[2];yes
653;semantic web services;uses;wi-fi;['heuristic'];[3];yes
1295;semantic web services;converts;xml data;['heuristic'];[3.0];no
1296;semantic web services;uses;zig-bee;['heuristic'];[3.0];no
386;semantic web technologies;links;linked data;['heuristic'];[271];yes
203;semantic web technologies;publishes;linked data;['heuristic'];[65];yes
521;semantic web technologies;supports;linked data;['heuristic'];[23];yes
487;semantic web technologies;uses;linked data;['openie'];[1];yes
7;semantic web technologies;includes;ontology alignment;['luanyi', 'luanyi', 'heuristic', 'heuristic'];[1, 10, 3, 11];yes
208;semantic web technologies;provides;ontology alignment;['heuristic'];[41];yes
464;semantic web technologies;uses;ontology alignment;['luanyi'];[1];yes
32;semantic web technologies;includes;resource description framework (rdf);['heuristic'];[27];yes
85;semantic web technologies;uses;resource description framework (rdf);['heuristic', 'openie', 'heuristic', 'openie', 'luanyi', 'luanyi', 'heuristic'];[141, 3, 317, 1, 66, 15, 4];yes
127;semantic web technologies;includes;semantic description;['luanyi'];[1];yes
893;semantic web technologies;supports;semantic description;['heuristic'];[6.0];no
546;semantic web technologies;uses;semantic description;['heuristic'];[84];yes
325;semantic web technologies;includes;semantic descriptions;['luanyi'];[1];yes
683;semantic web technologies;provides;semantic descriptions;['heuristic'];[7];yes
44;semantic web technologies;uses;semantic search engine;['luanyi'];[2];yes
894;semantic web technologies;includes;semantic search engines;['heuristic'];[6.0];no
103;semantic web technologies;supports;semantic search engines;['heuristic'];[54];yes
470;semantic web technologies;produces;semantic web services;['openie'];[1];yes
449;semantic web technologies;provides;semantic web services;['heuristic'];[372];yes
184;semantic web technologies;supports;semantic web services;['heuristic'];[22];yes
509;semantic web technologies;uses;semantic web services;['luanyi'];[4];yes
445;semantic web technologies;combines;web ontology language;['openie'];[1];yes
979;semantic web technologies;supports;web ontology language;['heuristic'];[5.0];no
49;semantic web technologies;uses;web ontology language;['heuristic', 'heuristic', 'heuristic', 'luanyi', 'openie', 'luanyi'];[176, 88, 27, 38, 2, 14];yes
1297;sensor data;base;linked data;['heuristic'];[3.0];no
47;sensor networks;uses;ontology alignment;['luanyi'];[1];yes
895;sensors;publishes;linked data;['heuristic'];[6.0];no
654;service architecture;uses;resource description framework (rdf);['heuristic'];[1];yes
313;service compositions;uses;semantic description;['luanyi'];[1];yes
496;service execution;is;semantic web services;['luanyi'];[1];yes
980;service execution;supports;semantic web services;['heuristic'];[5.0];no
981;service matching;produces;semantic description;['heuristic'];[5.0];no
134;service matching;uses;semantic web services;['luanyi', 'heuristic'];[2, 10];yes
982;service ontology;base;web ontology language;['heuristic'];[5.0];no
660;service ontology;uses;web ontology language;['heuristic'];[1];yes
616;services selection;is;semantic web services;['luanyi'];[1];yes
896;services selection;selects;semantic web services;['heuristic'];[6.0];no
181;services selection;uses;semantic web services;['luanyi'];[1];yes
1298;smart grids;links;linked data;['heuristic'];[3.0];no
342;smart phones;uses;semantic search engines;['luanyi'];[1];yes
751;social networks;uses;linked data;['heuristic'];[6];yes
1299;social networks;produces;resource description framework (rdf);['heuristic'];[3.0];no
1300;social networks;publishes;resource description framework (rdf);['heuristic'];[3.0];no
473;social networks;uses;web ontology language;['luanyi'];[2];yes
187;social relationships;uses;semantic search engines;['luanyi'];[1];yes
276;software agents;uses;semantic description;['luanyi'];[1];yes
759;software agents;uses;semantic web services;['heuristic'];[13];yes
672;software design;uses;web ontology language;['heuristic'];[3];yes
690;software design patterns;uses;web ontology language;['heuristic'];[1];yes
983;software development life cycle;base;semantic web services;['heuristic'];[5.0];no
596;software development life cycle;uses;semantic web services;['luanyi'];[1];yes
341;software engineering;uses;linked data;['luanyi'];[1];yes
984;software engineering;produces;web ontology language;['heuristic'];[5.0];no
505;software maintenance;uses;ontology alignment;['luanyi'];[1];yes
1301;software product lines;acquires;semantic description;['heuristic'];[3.0];no
897;source codes;proposes;linked data;['heuristic'];[6.0];no
1110;spam filtering;publishes;linked data;['heuristic'];[4.0];no
392;sparql;links;linked data;['heuristic'];[59];yes
1111;sparql;proposes;ontology alignment;['heuristic'];[4.0];no
476;sparql;acquires;resource description framework (rdf);['heuristic'];[113];yes
111;sparql;is;resource description framework (rdf);['luanyi'];[4];yes
455;sparql;queries;resource description framework (rdf);['heuristic'];[30];yes
396;sparql;represents;resource description framework (rdf);['openie'];[1];yes
1302;sparql;uses;semantic search engines;['heuristic'];[3.0];no
1303;sparql;executes;web ontology language;['heuristic'];[3.0];no
408;sparql;supports;web ontology language;['heuristic'];[23];yes
985;spatial data;converts;linked data;['heuristic'];[5.0];no
292;spatial data;uses;linked data;['luanyi'];[2];yes
452;speech recognition;uses;semantic search engines;['luanyi'];[4];yes
225;star schema;uses;web ontology language;['luanyi'];[1];yes
1304;stream data;improves;semantic description;['heuristic'];[3.0];no
898;structured query language (sql);produces;resource description framework (rdf);['heuristic'];[6.0];no
773;supervised machine learning;uses;resource description framework (rdf);['heuristic'];[1];yes
303;supervised machine learning;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes
399;supply chain coordination;uses;semantic web services;['luanyi'];[2];yes
254;telecommunications industry;uses;semantic web services;['luanyi'];[2];yes
271;text clustering;uses;semantic search engine;['luanyi'];[1];yes
839;text mining;selects;semantic description;['heuristic'];[7.0];no
899;text mining;supports;semantic search engines;['heuristic'];[6.0];no
448;text mining;uses;semantic web services;['luanyi'];[1];yes
840;topology;links;linked data;['heuristic'];[7.0];no
196;twitter;is;linked data;['luanyi'];[1];yes
986;twitter;uses;linked data;['heuristic'];[5.0];no
987;type systems;provides;linked data;['heuristic'];[5.0];no
679;ubiquitous computing;uses;web ontology language;['heuristic'];[1];yes
642;ubiquitous computing environment;uses;web ontology language;['heuristic'];[5];yes
988;undirected graph;represents;resource description framework (rdf);['heuristic', 'heuristic'];[5.0, 1.0];no
1112;universities;acquires;resource description framework (rdf);['heuristic'];[4.0];no
583;user experience;uses;semantic search engine;['luanyi'];[1];yes
10;user navigation;uses;semantic search engines;['luanyi'];[1];yes
70;user query;uses;ontology alignment;['luanyi'];[1];yes
380;user query;uses;semantic search engine;['luanyi'];[1];yes
383;user query;uses;semantic search engines;['luanyi'];[1];yes
671;user query;uses;web ontology language;['heuristic'];[6];yes
652;vector space model (vsm);uses;web ontology language;['heuristic'];[3];yes
1305;verification;represents;semantic description;['heuristic'];[3.0];no
1306;verification;supports;semantic web services;['heuristic'];[3.0];no
739;verification;uses;web ontology language;['heuristic'];[2];yes
989;video search;proposes;semantic search engines;['heuristic'];[5.0];no
841;visual features;supports;semantic search engines;['heuristic'];[7.0];no
801;visualization;supports;ontology alignment;['heuristic'];[8.0];no
990;visualization;includes;resource description framework (rdf);['heuristic'];[5.0];no
382;vocabulary;proposes;linked data;['heuristic'];[37];yes
842;vocabulary;produces;resource description framework (rdf);['heuristic'];[7.0];no
900;vocabulary;proposes;semantic web services;['heuristic'];[6.0];no
901;web 2.0;selects;linked data;['heuristic'];[6.0];no
29;web applications;uses;linked data;['luanyi'];[4];yes
291;web applications;uses;ontology alignment;['luanyi'];[1];yes
339;web applications;uses;resource description framework (rdf);['luanyi', 'heuristic'];[2, 4];yes
1307;web applications;defines;semantic description;['heuristic'];[3.0];no
991;web applications;base;semantic search engines;['heuristic'];[5.0];no
902;web applications;produces;semantic web services;['heuristic'];[6.0];no
550;web applications;uses;semantic web services;['luanyi'];[4];yes
1113;web applications;executes;web ontology language;['heuristic'];[4.0];no
222;web applications;uses;web ontology language;['luanyi'];[1];yes
333;web browsing;uses;linked data;['luanyi'];[1];yes
1114;web contents;selects;linked data;['heuristic'];[4.0];no
314;web contents;uses;linked data;['luanyi', 'heuristic'];[2, 2];yes
201;web contents;uses;resource description framework (rdf);['openie', 'luanyi', 'heuristic'];[1, 1, 8];yes
287;web contents;uses;semantic description;['luanyi'];[1];yes
441;web contents;uses;semantic search engine;['luanyi', 'heuristic'];[1, 1];yes
344;web contents;uses;semantic search engines;['luanyi'];[1];yes
188;web contents;uses;semantic web services;['luanyi'];[1];yes
307;web contents;uses;web ontology language;['luanyi'];[2];yes
1308;web development;includes;resource description framework (rdf);['heuristic', 'heuristic'];[3.0, 1.0];no
1309;web development;requires;semantic web services;['heuristic'];[3.0];no
351;web engineering;uses;resource description framework (rdf);['luanyi', 'heuristic'];[2, 1];yes
1115;web engineering;produces;semantic description;['heuristic'];[4.0];no
564;web engineering;uses;semantic web services;['luanyi'];[1];yes
651;web information;uses;semantic web services;['heuristic'];[2];yes
209;web of data;links;linked data;['heuristic'];[43];yes
524;web of data;uses;linked data;['luanyi'];[9];yes
802;web of data;acquires;resource description framework (rdf);['heuristic'];[8.0];no
1310;web of data;includes;resource description framework (rdf);['heuristic'];[3.0];no
416;web of data;uses;resource description framework (rdf);['luanyi'];[2];yes
531;web of data;uses;semantic search engine;['luanyi'];[1];yes
1116;web ontology language;limits;access control;['heuristic'];[4.0];no
139;web ontology language;provides;access control;['openie', 'heuristic'];[1, 9];yes
1311;web ontology language;defines;automated reasoning;['heuristic'];[3.0];no
843;web ontology language;provides;automated reasoning;['heuristic'];[7.0];no
1312;web ontology language;produces;automatic composition;['heuristic'];[3.0];no
695;web ontology language;supports;automation;['heuristic'];[3];yes
1117;web ontology language;base;bayesian approaches;['heuristic'];[4.0];no
992;web ontology language;represents;bayesian approaches;['heuristic'];[5.0];no
1313;web ontology language;produces;cellular;['heuristic'];[3.0];no
754;web ontology language;uses;classifiers;['heuristic'];[1];yes
1314;web ontology language;proposes;cloud services;['heuristic'];[3.0];no
1118;web ontology language;uses;collaborative designs;['heuristic', 'heuristic'];[4.0, 3.0];no
903;web ontology language;uses;communication;['heuristic'];[6.0];no
1315;web ontology language;uses;component repository;['heuristic'];[3.0];no
1316;web ontology language;uses;component-based software engineering;['heuristic'];[3.0];no
993;web ontology language;executes;computation independent model (cim);['heuristic'];[5.0];no
844;web ontology language;produces;computation independent model (cim);['heuristic'];[7.0];no
1317;web ontology language;supports;computer aided design (cad);['heuristic'];[3.0];no
491;web ontology language;is;computer science;['luanyi'];[1];yes
762;web ontology language;uses;computer science;['heuristic'];[1];yes
1119;web ontology language;provides;context modeling;['heuristic'];[4.0];no
622;web ontology language;supports;data exchange;['heuristic'];[3];yes
492;web ontology language;provides;data integration;['openie', 'heuristic'];[1, 4];yes
904;web ontology language;uses;data integration;['heuristic'];[6.0];no
1318;web ontology language;extends;data integration system;['heuristic'];[3.0];no
270;web ontology language;base;description logics;['heuristic', 'heuristic'];[35, 48];yes
68;web ontology language;is;description logics;['luanyi'];[4];yes
288;web ontology language;uses;description logics;['luanyi', 'luanyi'];[10, 8];yes
251;web ontology language;defines;domain knowledge;['heuristic'];[22];yes
803;web ontology language;represents;domain knowledge;['heuristic'];[8.0];no
172;web ontology language;includes;domain-specific ontologies;['luanyi'];[1];yes
37;web ontology language;produces;domain-specific ontologies;['openie'];[1];yes
708;web ontology language;uses;engine;['heuristic'];[7];yes
804;web ontology language;represents;engineering;['heuristic'];[8.0];no
361;web ontology language;is;expert systems;['luanyi'];[1];yes
143;web ontology language;converts;extensible markup language (xml);['heuristic'];[29];yes
343;web ontology language;uses;extensible stylesheet language (xslt);['luanyi'];[2];yes
1319;web ontology language;proposes;facebook;['heuristic'];[3.0];no
428;web ontology language;is;fuzzy extension;['luanyi'];[1];yes
529;web ontology language;uses;fuzzy extension;['luanyi'];[1];yes
131;web ontology language;uses;fuzzy logics;['luanyi'];[1];yes
994;web ontology language;extends;horn clause;['heuristic'];[5.0];no
750;web ontology language;uses;hypertext transfer protocol (http);['heuristic'];[3];yes
219;web ontology language;defines;inference;['heuristic'];[29];yes
569;web ontology language;supports;inference;['openie'];[1];yes
712;web ontology language;uses;inference;['heuristic'];[10];yes
1120;web ontology language;maintains;information systems;['heuristic'];[4.0];no
1121;web ontology language;includes;intelligent agents;['heuristic'];[4.0];no
311;web ontology language;includes;knowledge bases;['luanyi'];[1];yes
805;web ontology language;produces;knowledge bases;['heuristic'];[8.0];no
130;web ontology language;uses;knowledge engineering;['luanyi'];[1];yes
42;web ontology language;is;knowledge management;['luanyi'];[1];yes
1122;web ontology language;represents;knowledge management;['heuristic'];[4.0];no
466;web ontology language;uses;knowledge representation;['luanyi', 'heuristic'];[1, 14];yes
1320;web ontology language;supports;knowledge-sharing;['heuristic'];[3.0];no
224;web ontology language;is;logic programming;['luanyi'];[1];yes
1321;web ontology language;defines;matching algorithm;['heuristic'];[3.0];no
217;web ontology language;is;modeling languages;['luanyi'];[1];yes
1123;web ontology language;uses;modeling languages;['heuristic'];[4.0];no
1322;web ontology language;provides;natural language processing systems;['heuristic'];[3.0];no
390;web ontology language;defines;ontologies;['openie', 'heuristic', 'heuristic'];[9, 280, 276];yes
135;web ontology language;includes;ontologies;['luanyi'];[13];yes
326;web ontology language;is;ontologies;['openie'];[8];yes
1124;web ontology language;defines;ontology alignment;['heuristic'];[4.0];no
995;web ontology language;provides;ontology alignment;['heuristic'];[5.0];no
575;web ontology language;includes;ontology construction;['luanyi'];[2];yes
996;web ontology language;proposes;ontology construction;['heuristic'];[5.0];no
431;web ontology language;includes;ontology language;['luanyi'];[1];yes
153;web ontology language;is;ontology language;['luanyi', 'heuristic', 'luanyi', 'heuristic', 'openie'];[5, 48, 36, 36, 6];yes
195;web ontology language;provides;ontology modeling;['openie'];[1];yes
1323;web ontology language;supports;ontology modeling;['heuristic', 'heuristic'];[3.0, 2.0];no
1125;web ontology language;produces;pervasive;['heuristic', 'heuristic'];[4.0, 3.0];no
1126;web ontology language;base;petri nets;['heuristic'];[4.0];no
1324;web ontology language;maintains;privacy;['heuristic'];[3.0];no
997;web ontology language;acquires;probability;['heuristic'];[5.0];no
845;web ontology language;provides;query processing;['heuristic'];[7.0];no
1325;web ontology language;acquires;rdf data;['heuristic'];[3.0];no
235;web ontology language;provides;reasoning algorithms;['heuristic'];[70];yes
336;web ontology language;supports;reasoning algorithms;['heuristic', 'openie'];[53, 1];yes
155;web ontology language;is;recommendation;['openie'];[1];yes
1326;web ontology language;matches;relational data models;['heuristic'];[3.0];no
21;web ontology language;uses;relational data models;['luanyi'];[1];yes
427;web ontology language;is;relational database systems;['luanyi'];[1];yes
1127;web ontology language;produces;relational database systems;['heuristic'];[4.0];no
15;web ontology language;uses;relational database systems;['luanyi', 'luanyi'];[2, 1];yes
419;web ontology language;provides;resource description framework (rdf);['heuristic'];[211];yes
1327;web ontology language;uses;resource discovery;['heuristic'];[3.0];no
1328;web ontology language;produces;search engines;['heuristic'];[3.0];no
617;web ontology language;supports;search engines;['openie', 'heuristic'];[1, 1];yes
89;web ontology language;is;semantic description;['luanyi', 'luanyi'];[2, 1];yes
998;web ontology language;provides;semantic interoperability;['heuristic'];[5.0];no
905;web ontology language;converts;semantic relationships;['heuristic'];[6.0];no
1329;web ontology language;proposes;semantic relationships;['heuristic'];[3.0];no
906;web ontology language;produces;semantic web rule languages;['heuristic'];[6.0];no
421;web ontology language;proposes;semantic web rule languages;['heuristic'];[59];yes
381;web ontology language;includes;semantic web services;['luanyi'];[1];yes
317;web ontology language;is;semantic web services;['luanyi'];[2];yes
283;web ontology language;defines;semantic web technologies;['heuristic'];[161];yes
846;web ontology language;includes;semantic web technologies;['heuristic'];[7.0];no
84;web ontology language;is;semantic web technologies;['luanyi', 'luanyi', 'luanyi'];[6, 43, 3];yes
547;web ontology language;produces;semantic web technologies;['openie'];[1];yes
558;web ontology language;uses;semantic web technologies;['heuristic'];[168];yes
675;web ontology language;is;sensors;['heuristic'];[1];yes
775;web ontology language;supports;software agents;['heuristic'];[1];yes
657;web ontology language;is;software engineering;['heuristic'];[1];yes
394;web ontology language;base;sparql;['heuristic'];[27];yes
1330;web ontology language;selects;uml models;['heuristic'];[3.0];no
