;s;p;o;source;support;pipeline
934;linked data;includes;augmented reality;['heuristic'];[5.0];no
1181;linked data;improves;automatic classification;['heuristic'];[3.0];no
119;linked data;provides;background knowledge;['openie', 'heuristic'];[1, 5];yes
151;linked data;improves;bibliographic data;['openie'];[3];yes
935;linked data;supports;big data;['heuristic'];[5.0];no
1027;linked data;produces;communication;['heuristic'];[4.0];no
94;linked data;is;component-based software engineering;['openie'];[1];yes
517;linked data;uses;concept lattices;['luanyi'];[1];yes
1028;linked data;links;cycle;['heuristic'];[4.0];no
858;linked data;proposes;data exchange;['heuristic'];[6.0];no
459;linked data;provides;data integration;['openie', 'heuristic'];[1, 23];yes
859;linked data;provides;data mining;['heuristic'];[6.0];no
1182;linked data;combines;data warehouses;['heuristic'];[3.0];no
815;linked data;provides;database systems;['heuristic'];[7.0];no
22;linked data;produces;dbpedia;['heuristic'];[37];yes
35;linked data;supports;dialogue;['openie'];[1];yes
261;linked data;includes;digital libraries;['luanyi'];[2];yes
1183;linked data;publishes;domain-specific ontologies;['heuristic'];[3.0];no
816;linked data;links;e-business models;['heuristic'];[7.0];no
757;linked data;uses;emotion recognition;['heuristic'];[2];yes
659;linked data;uses;engine;['heuristic'];[3];yes
722;linked data;uses;extensible markup language (xml);['heuristic'];[4];yes
1029;linked data;publishes;geospatial data;['heuristic'];[4.0];no
1184;linked data;executes;graph theory;['heuristic'];[3.0];no
781;linked data;publishes;hypertext;['heuristic'];[8.0];no
674;linked data;uses;hypertext transfer protocol (http);['heuristic'];[12];yes
1185;linked data;produces;information dissemination;['heuristic'];[3.0];no
1186;linked data;requires;information fusion;['heuristic'];[3.0];no
698;linked data;supports;information needs;['heuristic'];[1];yes
860;linked data;improves;information retrieval;['heuristic'];[6.0];no
1187;linked data;supports;information systems;['heuristic'];[3.0];no
236;linked data;produces;internet;['heuristic'];[23];yes
1188;linked data;produces;java;['heuristic'];[3.0];no
407;linked data;provides;knowledge bases;['heuristic'];[20];yes
861;linked data;provides;knowledge discovery;['heuristic'];[6.0];no
817;linked data;produces;knowledge engineering;['heuristic'];[7.0];no
862;linked data;extends;knowledge representation;['heuristic'];[6.0];no
1030;linked data;proposes;knowledge-sharing;['heuristic'];[4.0];no
359;linked data;produces;learning;['heuristic'];[27];yes
367;linked data;provides;libraries;['heuristic'];[52];yes
540;linked data;provides;linked open data;['heuristic'];[22];yes
1189;linked data;base;machine learning techniques;['heuristic'];[3.0];no
462;linked data;uses;mobile devices;['luanyi'];[2];yes
193;linked data;uses;natural languages;['luanyi', 'openie'];[1, 1];yes
506;linked data;provides;ontologies;['heuristic'];[101];yes
268;linked data;supports;ontologies;['openie'];[2];yes
1190;linked data;improves;ontology development;['heuristic'];[3.0];no
549;linked data;supports;parsing algorithm;['openie'];[1];yes
863;linked data;supports;privacy;['heuristic'];[6.0];no
1031;linked data;provides;python;['heuristic'];[4.0];no
818;linked data;uses;query execution;['heuristic'];[7.0];no
1032;linked data;produces;query rewritings;['heuristic'];[4.0];no
1033;linked data;proposes;question answering systems;['heuristic'];[4.0];no
158;linked data;uses;question answering systems;['luanyi'];[1];yes
3;linked data;uses;rdf data;['heuristic'];[27];yes
936;linked data;uses;recommender systems;['heuristic'];[5.0];no
1191;linked data;converts;relational data;['heuristic'];[3.0];no
606;linked data;uses;relational database systems;['luanyi'];[1];yes
136;linked data;uses;resource description framework (rdf);['heuristic', 'openie', 'heuristic'];[21, 1, 54];yes
104;linked data;uses;rule engine;['luanyi'];[1];yes
191;linked data;provides;semantic data;['heuristic'];[20];yes
1034;linked data;produces;semantic description;['heuristic'];[4.0];no
937;linked data;executes;semantic distance;['heuristic'];[5.0];no
