;s;p;o;source;support;pipeline
47;geographic information system;uses;linked data;['luanyi'];[1];yes
579;geospatial data;uses;semantic description;['luanyi'];[2];yes
1343;graphical models;learns;semantic description;['heuristic'];[3.0];no
785;grid computing;is;semantic web services;['luanyi'];[1];yes
728;grid services;uses;semantic description;['luanyi'];[1];yes
1192;grid services;defines;web ontology language;['heuristic'];[4.0];no
455;grid services;uses;web ontology language;['luanyi'];[2];yes
979;hash;links;linked data;['heuristic'];[7.0];no
1344;heterogeneous databases;includes;semantic search engines;['heuristic'];[3.0];no
909;hierarchical structures;uses;resource description framework (rdf);['heuristic'];[1];yes
945;hypertext markup language (html);produces;resource description framework (rdf);['heuristic'];[8.0];no
1345;hypertext markup language (html);provides;semantic search engines;['heuristic'];[3.0];no
1346;hypertext markup language (html);is;web ontology language;['heuristic'];[3.0];no
23;hypertext transfer protocol (http);uses;linked data;['heuristic'];[19];yes
382;hypertext transfer protocol (http);extends;resource description framework (rdf);['heuristic'];[9];yes
1347;hypertext transfer protocol (http);produces;semantic search engines;['heuristic'];[3.0];no
218;hypervisor;is;linked data;['luanyi'];[1];yes
287;image retrieval;uses;ontology alignment;['luanyi'];[1];yes
1024;image retrieval;base;semantic description;['heuristic'];[6.0];no
1348;image retrieval;supports;semantic search engines;['heuristic'];[3.0];no
911;image search;uses;semantic description;['heuristic'];[1];yes
1349;index structure;provides;resource description framework (rdf);['heuristic'];[3.0];no
1193;index structure;proposes;semantic search engines;['heuristic'];[4.0];no
85;inference;uses;resource description framework (rdf);['luanyi', 'heuristic'];[2, 26];yes
528;inference;is;semantic search engine;['luanyi'];[1];yes
1098;inference;base;web ontology language;['heuristic'];[5.0];no
706;inference;uses;web ontology language;['heuristic', 'openie'];[15, 1];yes
412;information acquisitions;uses;semantic search engines;['luanyi'];[1];yes
816;information communications technology (ict);uses;semantic web services;['heuristic'];[1];yes
980;information extraction;links;linked data;['heuristic'];[7.0];no
791;information extraction;uses;linked data;['luanyi'];[1];yes
1350;information extraction;is;ontology alignment;['heuristic'];[3.0];no
1351;information extraction;includes;resource description framework (rdf);['heuristic'];[3.0];no
441;information extraction;provides;semantic search engines;['heuristic'];[9];yes
732;information filtering;uses;semantic description;['luanyi'];[1];yes
685;information fusion;uses;linked data;['luanyi'];[1];yes
864;information integration;uses;linked data;['heuristic'];[3];yes
737;information integration;uses;ontology alignment;['luanyi'];[2];yes
802;information needs;uses;linked data;['luanyi'];[1];yes
547;information retrieval;uses;linked data;['luanyi'];[1];yes
1352;information retrieval;maintains;ontology alignment;['heuristic'];[3.0];no
110;information retrieval;uses;ontology alignment;['luanyi', 'luanyi'];[1, 7];yes
1353;information retrieval;represents;resource description framework (rdf);['heuristic'];[3.0];no
666;information retrieval;uses;resource description framework (rdf);['luanyi'];[1];yes
923;information retrieval;uses;semantic description;['heuristic'];[1];yes
202;information retrieval;uses;semantic search engine;['luanyi', 'heuristic'];[1, 7];yes
145;information retrieval;uses;semantic search engines;['luanyi', 'heuristic'];[2, 41];yes
89;information retrieval;is;semantic web services;['luanyi'];[2];yes
941;information retrieval;uses;semantic web services;['heuristic'];[2];yes
568;information sharing;is;resource description framework (rdf);['luanyi'];[1];yes
748;information systems;uses;linked data;['luanyi'];[1];yes
1025;information systems;matches;ontology alignment;['heuristic'];[6.0];no
1099;information systems;produces;semantic web services;['heuristic'];[5.0];no
405;intelligent agents;uses;semantic web services;['luanyi'];[2];yes
617;intelligent tutoring systems;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes
790;internet;links;linked data;['heuristic'];[14];yes
1354;internet;represents;resource description framework (rdf);['heuristic'];[3.0];no
1194;internet;uses;semantic description;['heuristic'];[4.0];no
1355;internet;converts;semantic search engines;['heuristic'];[3.0];no
834;internet;produces;web ontology language;['heuristic'];[2];yes
933;investments;uses;linked data;['heuristic'];[1];yes
1100;java;includes;resource description framework (rdf);['heuristic'];[5.0];no
1195;java;supports;semantic web services;['heuristic'];[4.0];no
1101;java;converts;web ontology language;['heuristic', 'heuristic'];[5.0, 4.0];no
404;keyword search;uses;linked data;['luanyi'];[2];yes
757;keyword search;produces;semantic search engines;['heuristic'];[10];yes
329;knowledge bases;links;linked data;['heuristic'];[10];yes
139;knowledge bases;uses;linked data;['luanyi'];[1];yes
1356;knowledge bases;defines;resource description framework (rdf);['heuristic'];[3.0];no
715;knowledge bases;uses;resource description framework (rdf);['heuristic'];[13];yes
1196;knowledge bases;acquires;semantic description;['heuristic'];[4.0];no
1357;knowledge bases;uses;semantic search engine;['heuristic'];[3.0];no
770;knowledge bases;uses;semantic search engines;['heuristic'];[18];yes
1102;knowledge bases;base;web ontology language;['heuristic'];[5.0];no
509;knowledge bases;uses;web ontology language;['openie', 'luanyi', 'heuristic'];[1, 2, 8];yes
1197;knowledge discovery;links;linked data;['heuristic'];[4.0];no
580;knowledge discovery;uses;linked data;['luanyi'];[3];yes
656;knowledge discovery;uses;resource description framework (rdf);['luanyi'];[1];yes
1198;knowledge discovery;supports;semantic search engines;['heuristic'];[4.0];no
634;knowledge engineering;uses;linked data;['luanyi'];[2];yes
17;knowledge exchange;uses;ontology alignment;['luanyi'];[1];yes
595;knowledge exchange;uses;resource description framework (rdf);['luanyi'];[1];yes
1103;knowledge management;uses;semantic search engines;['heuristic'];[5.0];no
551;knowledge management;is;semantic web services;['luanyi'];[2];yes
1358;knowledge management;provides;semantic web services;['heuristic'];[3.0];no
1199;knowledge management;base;web ontology language;['heuristic'];[4.0];no
884;knowledge management;uses;web ontology language;['heuristic'];[1];yes
415;knowledge management systems;uses;linked data;['luanyi'];[1];yes
809;knowledge management systems;uses;resource description framework (rdf);['luanyi'];[1];yes
842;knowledge management systems;uses;web ontology language;['heuristic'];[1];yes
592;knowledge representation;analyzes;resource description framework (rdf);['heuristic'];[19];yes
981;knowledge representation;extends;resource description framework (rdf);['heuristic'];[7.0];no
2;knowledge representation;uses;resource description framework (rdf);['luanyi', 'luanyi'];[1, 4];yes
654;knowledge representation;provides;semantic description;['heuristic'];[9];yes
796;knowledge representation;uses;semantic search engines;['heuristic'];[9];yes
633;knowledge representation;base;web ontology language;['heuristic'];[20];yes
314;knowledge representation;uses;web ontology language;['luanyi', 'openie', 'heuristic', 'luanyi'];[3, 1, 21, 1];yes
432;knowledge representation and reasoning;uses;resource description framework (rdf);['luanyi'];[1];yes
154;knowledge-sharing;uses;ontology alignment;['luanyi'];[3];yes
1359;lan;provides;resource description framework (rdf);['heuristic'];[3.0];no
855;language acquisition;uses;linked data;['heuristic'];[1];yes
487;learning;produces;linked data;['heuristic'];[23];yes
231;learning;improves;ontology alignment;['heuristic'];[11];yes
1200;learning;requires;ontology alignment;['heuristic'];[4.0];no
34;learning;uses;resource description framework (rdf);['heuristic'];[9];yes
1201;learning;requires;semantic description;['heuristic'];[4.0];no
448;learning;provides;semantic search engines;['heuristic'];[10];yes
302;learning;base;semantic web services;['heuristic'];[17];yes
927;learning objects;uses;ontology alignment;['heuristic'];[1];yes
100;learning objects;uses;semantic search engines;['luanyi'];[1];yes
1104;learning objects;learns;semantic web services;['heuristic'];[5.0];no
332;learning organizations;includes;semantic search engine;['luanyi'];[1];yes
1105;legacy systems;acquires;resource description framework (rdf);['heuristic'];[5.0];no
128;libraries;links;linked data;['heuristic'];[63];yes
317;libraries;uses;linked data;['luanyi'];[1];yes
75;libraries;uses;resource description framework (rdf);['openie'];[1];yes
1202;linked data;supports;access control;['heuristic'];[4.0];no
1106;linked data;includes;augmented reality;['heuristic'];[5.0];no
286;linked data;links;authentication;['heuristic'];[11];yes
1360;linked data;improves;automatic classification;['heuristic'];[3.0];no
603;linked data;provides;background knowledge;['openie'];[1];yes
390;linked data;improves;bibliographic data;['openie', 'heuristic'];[3, 10];yes
1107;linked data;supports;big data;['heuristic'];[5.0];no
1203;linked data;produces;communication;['heuristic'];[4.0];no
73;linked data;is;component-based software engineering;['openie'];[1];yes
486;linked data;links;component-based software engineering;['heuristic'];[9];yes
270;linked data;uses;concept lattices;['luanyi'];[1];yes
1204;linked data;links;cycle;['heuristic'];[4.0];no
1026;linked data;proposes;data exchange;['heuristic'];[6.0];no
620;linked data;provides;data integration;['heuristic', 'openie'];[23, 1];yes
1027;linked data;provides;data mining;['heuristic'];[6.0];no
71;linked data;links;data publishing;['heuristic'];[9];yes
1361;linked data;combines;data warehouses;['heuristic'];[3.0];no
982;linked data;provides;database systems;['heuristic'];[7.0];no
78;linked data;produces;dbpedia;['heuristic'];[37];yes
0;linked data;supports;dialogue;['openie'];[1];yes
629;linked data;includes;digital libraries;['luanyi'];[2];yes
1362;linked data;publishes;domain-specific ontologies;['heuristic'];[3.0];no
983;linked data;links;e-business models;['heuristic'];[7.0];no
830;linked data;uses;engine;['heuristic'];[3];yes
904;linked data;uses;extensible markup language (xml);['heuristic'];[4];yes
1205;linked data;publishes;geospatial data;['heuristic'];[4.0];no
1363;linked data;executes;graph theory;['heuristic'];[3.0];no
946;linked data;publishes;hypertext;['heuristic'];[8.0];no
711;linked data;produces;hypertext markup language (html);['heuristic'];[13];yes
638;linked data;uses;hypertext transfer protocol (http);['heuristic'];[12];yes
883;linked data;supports;inference;['heuristic'];[2];yes
1364;linked data;produces;information dissemination;['heuristic'];[3.0];no
1365;linked data;requires;information fusion;['heuristic'];[3.0];no
825;linked data;supports;information integration;['heuristic'];[2];yes
1028;linked data;improves;information retrieval;['heuristic'];[6.0];no
1366;linked data;supports;information systems;['heuristic'];[3.0];no
60;linked data;produces;internet;['heuristic'];[23];yes
1367;linked data;produces;java;['heuristic'];[3.0];no
21;linked data;uses;javascript;['heuristic'];[11];yes
794;linked data;provides;knowledge bases;['heuristic'];[20];yes
1029;linked data;provides;knowledge discovery;['heuristic'];[6.0];no
984;linked data;produces;knowledge engineering;['heuristic'];[7.0];no
1030;linked data;extends;knowledge representation;['heuristic'];[6.0];no
1206;linked data;proposes;knowledge-sharing;['heuristic'];[4.0];no
504;linked data;produces;learning;['heuristic'];[27];yes
323;linked data;provides;libraries;['heuristic'];[52];yes
431;linked data;provides;linked open data;['heuristic'];[22];yes
1368;linked data;base;machine learning techniques;['heuristic'];[3.0];no
427;linked data;supports;mashup;['heuristic'];[11];yes
451;linked data;uses;mobile devices;['luanyi'];[2];yes
62;linked data;uses;natural languages;['openie', 'luanyi'];[1, 1];yes
584;linked data;provides;ontologies;['heuristic'];[101];yes
307;linked data;supports;ontologies;['openie'];[2];yes
1369;linked data;improves;ontology development;['heuristic'];[3.0];no
187;linked data;supports;parsing algorithm;['openie'];[1];yes
1031;linked data;supports;privacy;['heuristic'];[6.0];no
1207;linked data;provides;python;['heuristic'];[4.0];no
985;linked data;uses;query execution;['heuristic'];[7.0];no
398;linked data;improves;query processing;['heuristic'];[10];yes
1208;linked data;produces;query rewritings;['heuristic'];[4.0];no
1209;linked data;proposes;question answering systems;['heuristic'];[4.0];no
288;linked data;uses;question answering systems;['luanyi'];[1];yes
782;linked data;uses;rdf data;['heuristic'];[27];yes
1108;linked data;uses;recommender systems;['heuristic'];[5.0];no
1370;linked data;converts;relational data;['heuristic'];[3.0];no
378;linked data;produces;relational database systems;['heuristic'];[15];yes
291;linked data;uses;relational database systems;['luanyi'];[1];yes
375;linked data;uses;resource description framework (rdf);['openie', 'heuristic', 'heuristic'];[1, 21, 54];yes
931;linked data;supports;resource discovery;['heuristic'];[4];yes
741;linked data;uses;rule engine;['luanyi'];[1];yes
803;linked data;provides;semantic data;['heuristic'];[20];yes
1210;linked data;produces;semantic description;['heuristic'];[4.0];no
1109;linked data;executes;semantic distance;['heuristic'];[5.0];no
488;linked data;provides;semantic interoperability;['openie'];[2];yes
789;linked data;supports;semantic metadata;['heuristic'];[9];yes
1110;linked data;is;semantic relationships;['heuristic'];[5.0];no
1211;linked data;produces;semantic relationships;['heuristic'];[4.0];no
1371;linked data;improves;semantic search engine;['heuristic'];[3.0];no
707;linked data;improves;semantic search engines;['heuristic'];[9];yes
1372;linked data;improves;semantic similarity measures;['heuristic'];[3.0];no
155;linked data;is;semantic web technologies;['luanyi'];[11];yes
704;linked data;provides;semantic web technologies;['heuristic', 'heuristic'];[251, 53];yes
118;linked data;uses;semantic web technologies;['luanyi', 'openie', 'luanyi', 'openie'];[2, 2, 4, 1];yes
280;linked data;links;sensor data;['heuristic'];[11];yes
1373;linked data;includes;sensor networks;['heuristic'];[3.0];no
309;linked data;includes;social sciences;['luanyi'];[1];yes
299;linked data;uses;software design patterns;['luanyi'];[1];yes
132;linked data;provides;sparql;['openie'];[1];yes
611;linked data;supports;sparql;['heuristic'];[74];yes
16;linked data;uses;sparql;['luanyi'];[5];yes
1111;linked data;produces;spatial data;['heuristic'];[5.0];no
1112;linked data;links;stream data;['heuristic'];[5.0];no
1374;linked data;includes;streaming data;['heuristic'];[3.0];no
612;linked data;produces;universities;['heuristic'];[15];yes
1113;linked data;improves;user experience;['heuristic'];[5.0];no
947;linked data;is;user interfaces;['heuristic'];[8.0];no
1212;linked data;uses;user profiles;['heuristic'];[4.0];no
804;linked data;produces;user query;['heuristic'];[11];yes
103;linked data;acquires;user-generated content;['heuristic'];[9];yes
986;linked data;supports;visualization;['heuristic'];[7.0];no
32;linked data;uses;vocabulary;['heuristic'];[25];yes
397;linked data;produces;web applications;['heuristic'];[11];yes
552;linked data;improves;web contents;['openie'];[1];yes
876;linked data;supports;web contents;['heuristic'];[4];yes
95;linked data;produces;web of data;['heuristic'];[58];yes
1213;linked data;supports;web ontology language;['heuristic'];[4.0];no
701;linked data;is;world wide web;['luanyi'];[1];yes
123;linked data;produces;world wide web;['openie', 'heuristic'];[1, 15];yes
